"stop_number","stop_name","lon","lat","distance_from_center"
"0101","Žaliasis tiltas",25.28048,54.69236,0.538846780293524
"0102","Žaliasis tiltas",25.28003,54.69234,0.535051835837384
"0103","Europos aikštė",25.27698,54.69544,0.898030188756086
"0104","Europos aikštė",25.27743,54.69564,0.914563705952552
"0105","Lietuvos sąjūdžio kelias",25.2663,54.69825,1.47431452661274
"0106","Lietuvos sąjūdžio kelias",25.2665,54.69853,1.49219823531312
"0107","Saltoniškės",25.26438,54.70239,1.92671478679274
"0108","Studentų st.",25.2643,54.69724,1.46902917208919
"0109","Lvovo st.",25.28276,54.69448,0.795875042423986
"0110","Lvovo st.",25.28387,54.69457,0.825358406827867
"0111","„Žalgirio“ stadionas",25.28954,54.69477,1.01978271378235
"0112","Šeimyniškių st.",25.29687,54.69556,1.41449623168927
"0113","Nacionalinė dailės galerija",25.27311,54.69671,1.10762168549285
"0114","Nacionalinė dailės galerija",25.27115,54.69768,1.25810706364352
"0115","Šnipiškės",25.26892,54.69983,1.53605972567448
"0120","Baltasis tiltas",25.27478,54.69387,0.775295503570461
"0201","Karaliaus Mindaugo tiltas",25.28741,54.68858,0.502865014805678
"0202","Karaliaus Mindaugo tiltas",25.28663,54.68867,0.456924752968005
"0203","Arkikatedra",25.28644,54.68665,0.437861643061506
"0207","Jogailos st.",25.27821,54.68526,0.272317430129719
"0210","Vinco Kudirkos aikštė",25.2798,54.68753,0
"0211","Vinco Kudirkos aikštė",25.27982,54.68871,0.131216311805855
"0212","Islandijos st.",25.27641,54.685,0.35584001411459
"0213","Islandijos st.",25.2764,54.68485,0.369547716835564
"0214","Juozo Tumo-Vaižganto st.",25.26799,54.68835,0.764531820713841
"0215","Pamėnkalnio st.",25.26934,54.68736,0.6725792678214
"0216","Pamėnkalnio st.",25.26659,54.68784,0.849763466345305
"0217","Jokūbo Jasinskio st.",25.26352,54.68828,1.04969865063103
"0218","Jokūbo Jasinskio st.",25.26329,54.68812,1.06319172429216
"0219","Gedimino prospektas",25.26261,54.68909,1.11839302651265
"0220","Gedimino prospektas",25.26208,54.68894,1.14966674998644
"0221","Alberto Goštauto st.",25.26747,54.69456,1.11310907885044
"0222","Kražių st.",25.27019,54.69324,0.885776856029522
"0223","Vašingtono aikštė",25.26987,54.6916,0.782388338133269
"0224","Kražių st.",25.27091,54.69179,0.742191008748979
"0225","Kražių st.",25.27116,54.69172,0.724866430815911
"0226","Juozo Tumo-Vaižganto st.",25.26922,54.68958,0.717197202345504
