1-IEJI JUODSILIAI,53
1ASIS LENTVARIS,27
1OSIOS BUKISKES,4902
2-IEJI JUODSILIAI,55
2OSIOS BUKISKES,4901
A.GOSTAUTO,221
A.JONYNO,3817
A.KOJELAVICIAUS,2324
AKACIJU,1613
AKADEMIJOS,2141
ANTAKALNIO ZIEDAS,1118
ANTAKALNIS,1116
APKASU,918
ARCHITEKTU,1643
ARKIKATEDRA,405
ASMENELES,1429
ATEITIES,2017
AUDEJAS,1207
AUKSTAGIRIS,1008
AUSROS VARTAI,417
AUSTEJOS,2256
AUTOBUSU PARKAS,813
AVINELIU,81
AZUOLO,1606
AZUOLYNAS,2253
AZUOLYNO,1816
B.LAURINAVICIAUS SKV,914
BAJORU SODAI,2105
BALDAI,2410
BALISKES,26
BALSIAI,2222
BALSIU MOKYKLA,2259
BALSTOGES,1319
BALTUPIAI,2011
BANISKES,1014
BAZILIJONU,5153
BELMONTAS,1217
BENDORELIAI,121
BENDORIAI,119
BERNARDINU SODAS,432
BERZU,5192
BIJUNU,1631
BIRELIAI,2244
BIRELIU ZIEDAS,2245
BUIVYDISKIU,1909
BUKCIAI,1634
BUKISKIU,5015
BURBISKES,2402
CENTRO POLIKLINIKA,235
CHEMIJOS INSTITUTAS,2106
CIOBISKIO,3219
DAILES AKADEMIJA,429
DEIVIU,3310
DIDLAUKIO,2008
DIDZIOJI RIESE,5102
DIEMEDIS,2230
DUKSTU,1918
DUMU,2339
DUNOJAUS,1309
DURPYNAS,125
DVARCIONIU KRYZKELE,3524
DVARCIONYS,1011
EGLIU,5157
EIGULIU,608
ERFURTO,1617
EUROPOS AIKSTE,104
EZERELIAI,2130
EZERO,128
FABIJONISKES,3802
FABIJONISKIU ZIEDAS,3809
FILARETU,1210
GABIJOS,3307
GALGIAI,4603
GARIUNAI,2927
GEDIMINO PROSPEKTAS,220
GEDIMINO TECHNIKOS U,1002
GEDVYDZIU,3805
GELEZINIO VILKO,2146
GELVONELIO,1924
GENIU,2348
GEROSIOS VILTIES,606
GERVECIU,443
GIEDRAICIU,916
GIRAITES,5197
GRIGISKES,4105
GRIGISKIU ZIEDAS,41
GURIAI,1422
GURIU SODAI,1425
HERKAUS MANTO,5186
I.SEINIAUS,3832
J.BALTRUSAICIO,3327
J.GALVYDZIO,6
J.JANONIO,23
J.JUZELIUNO,3328
J.KAIRIUKSCIO,2110
J.KAZLAUSKO,801
J.TUMO-VAIZGANTO,214
JERUZALE,2114
JOGAILOS,207
JONAZOLIU,1625
JUODASIS KELIAS,1313
KAIMELIO,5159
KAIMELIO ZIEDAS,3813
KAIRENAI,1015
KALVARIJOS,2003
KALVARIJU TURGUS,704
KARALIAUS MINDAUGO T,201
KAREIVIU,811
KAROLINISKES,1707
KASTONU,5132
KAUNO PLENTAS,2925
KELININKU,4003
KELMIJOS SODAI,5136
KELMISKIU,5014
KERAMIKU,1027
KILIMU FABRIKAS,31
KIPARISU,5126
KLEVINE,123
KLINIKU,1110
KOOPERATYVO,5202
KOVO 11-OSIOS,4101
KRAKISKES,2238
KRAKISKIU SODAI,2260
KRANTO,39
KRAZIU,224
KRIVIU,1101
KRYZIOKAI,2223
KULOKISKES,2922
KUNIGISKIU,4102
KURKLIU,2211
L.GIROS,3822
LAIDAGALIAI,5009
LAISVES PROSPEKTAS,1703
LAKSTINGALU,1123
LAUKO,5130
LAZDYNAI,1611
LAZDYNU LIGONINE,5158
LAZDYNU SENIUNIJA,1615
LELIJU,2342
LENTVARIS,29
LICEJUS,710
LIEPKALNIS,1315
LIETUVOS EDUKOLOGIJO,319
LIETUVOS SAJUDZIO KE,106
LINKMENU,701
LIUDVINAVAS,2936
LIZDEIKOS,1132
LUBINU,1024
LUKISKES,236
LYDOS,2636
M.K.CIURLIONIO,505
M.KATKAUS,912
M.ROMERIO UNIVERSITE,2001
MARKUCIAI,1206
MAUMEDZIU,2131
MAZOJI RIESE,117
MEDELYNAS,5003
MELIORATORIU,2712
MIGRACIJOS VALDYBA,45
MILDOS,2302
MINTIES,903
MISIONIERIU,420
MISKINIU SODAI,52
MISKO PARKAS,2635
MOKYKLOS,2103
MOLETU PLENTAS,2118
MURINE VOKE,3901
MUSNINKU,1933
MUZIKU,2134
NAC.DAILES GALERIJA,114
NAUJAKIEMIO,2012
NAUJANERIAI,2226
NAUJASIS LENTVARIS,35
NAUJOSIOS VILNIOS ZI,2356
NEMENCINES PLENTAS,1117
NERAVU,4106
NEUZMIRSTUOLIU,1632
O.MILASIAUS,3501
OPEROS IR BALETO TEA,232
OSLO,1622
OZO ZIEDAS,825
P.B.SIVICKIO,1423
P.BAUBLIO,2127
P.LUKSIO,921
P.ZADEIKOS,3831
PABERZES,1926
PAEZERYS,2228
PAGRANDOS,5013
