"day","tmpf","relh","sknt","alti","vsby"
"2016-01-01 00:20:00",14,85.28,2,30.47,2.49
"2016-01-01 00:50:00",14,85.28,1,30.47,2.49
"2016-01-01 01:20:00",14,85.28,1,30.45,2.49
"2016-01-01 01:50:00",15.8,78.84,3,30.47,1.86
"2016-01-01 02:20:00",15.8,85.4,2,30.45,1.8
"2016-01-01 02:50:00",15.8,85.4,1,30.45,1.8
"2016-01-01 03:20:00",15.8,85.4,3,30.45,1.8
"2016-01-01 03:50:00",15.8,85.4,4,30.45,1.8
"2016-01-01 04:20:00",15.8,85.4,5,30.45,1.8
"2016-01-01 04:50:00",14,92.38,5,30.45,1.8
"2016-01-01 05:20:00",14,92.38,5,30.47,2.49
"2016-01-01 05:50:00",14,85.28,4,30.47,4.35
"2016-01-01 06:20:00",14,85.28,5,30.47,4.35
"2016-01-01 06:50:00",14,85.28,4,30.47,4.35
"2016-01-01 07:20:00",14,85.28,4,30.47,4.35
"2016-01-01 07:50:00",14,78.68,4,30.47,4.35
"2016-01-01 08:20:00",14,72.53,4,30.47,4.35
"2016-01-01 08:50:00",14,78.68,3,30.47,4.35
"2016-01-01 09:20:00",14,78.68,4,30.47,4.97
"2016-01-01 09:50:00",14,72.53,4,30.47,6.21
"2016-01-01 10:20:00",14,66.82,5,30.47,6.21
"2016-01-01 10:50:00",14,72.53,4,30.47,4.35
"2016-01-01 11:20:00",14,72.53,4,30.47,2.49
"2016-01-01 11:32:00",14,78.68,4,30.47,1.62
"2016-01-01 11:50:00",14,72.53,6,30.47,2.49
"2016-01-01 12:20:00",14,72.53,6,30.47,2.49
"2016-01-01 12:50:00",14,72.53,5,30.47,4.35
"2016-01-01 13:20:00",14,61.51,7,30.47,4.97
"2016-01-01 13:50:00",14,66.82,5,30.47,4.97
"2016-01-01 14:20:00",14,61.51,3,30.47,6.21
"2016-01-01 14:50:00",12.2,72.33,4,30.5,4.97
"2016-01-01 15:20:00",12.2,66.58,4,30.5,4.97
"2016-01-01 15:50:00",12.2,72.33,3,30.5,4.97
"2016-01-01 16:20:00",12.2,72.33,6,30.5,4.97
"2016-01-01 16:50:00",12.2,72.33,4,30.5,4.97
"2016-01-01 17:20:00",12.2,72.33,4,30.5,4.35
"2016-01-01 17:50:00",12.2,78.51,3,30.5,4.35
"2016-01-01 18:20:00",12.2,78.51,3,30.5,4.35
